support,itemsets
0.1664059444661713,['energy _very low']
0.16679702776691435,['energy _low']
0.16660148611654282,['energy _neutral']
0.16679702776691435,['energy _high']
0.16660148611654282,['energy _very high']
0.16660148611654282,['energy _extremely high']
0.04810324599139617,"['energy _very high', 'temp _very low']"
0.08056315995307001,"['energy _extremely high', 'temp _very low']"
0.04419241298396558,"['energy _high', 'temp _low']"
0.04282362143136488,"['temp _neutral', 'energy _low']"
0.07371920219006649,"['temp _high', 'energy _very low']"
0.043996871333594055,"['energy _low', 'temp _high']"
0.04810324599139617,"['energy _low', 'temp _very high']"
0.044583496284708646,"['energy _very high', 'temp _extremely high']"
0.05553382870551427,"['energy _extremely high', 'temp _extremely high']"
0.044779037935080174,"['energy _extremely high', 'irradiance_toa _very low']"
0.04380132968322253,"['irradiance_toa _very high', 'energy _very low']"
0.041650371529135706,"['energy _extremely high', 'irradiance_surface _very low']"
0.04067266327727806,"['irradiance_surface _extremely high', 'energy _very low']"
0.08682049276495894,"['precipitation _low', 'energy _very low']"
0.0725459522878373,"['precipitation _low', 'energy _low']"
0.08330074305827141,"['precipitation _low', 'energy _neutral']"
0.08173640985529917,"['energy _high', 'precipitation _low']"
0.08623386781384434,"['energy _very high', 'precipitation _low']"
0.08936253421978882,"['energy _extremely high', 'precipitation _low']"
0.04067266327727806,"['energy _extremely high', 'snowfall _very high']"
0.04575674618693782,"['energy _very high', 'snowfall _extremely high']"
0.0557293703558858,"['energy _extremely high', 'snowfall _extremely high']"
0.06883066093077826,"['energy _very low', 'snow_depth _neutral']"
0.04047712162690653,"['energy _low', 'snow_depth _neutral']"
0.04047712162690653,"['snow_depth _high', 'energy _low']"
0.04086820492764959,"['energy _extremely high', 'snow_depth _very high']"
0.04301916308173641,"['energy _very high', 'snow_depth _extremely high']"
0.06452874462260462,"['energy _extremely high', 'snow_depth _extremely high']"
0.041063746578021115,"['energy _very high', 'air_density _very low']"
0.05475166210402816,"['energy _extremely high', 'air_density _very low']"
0.04810324599139617,"['energy _low', 'air_density _low']"
0.06433320297223309,"['air_density _neutral', 'energy _very low']"
0.04732107938991005,"['air_density _neutral', 'energy _low']"
0.041063746578021115,"['air_density _high', 'energy _very low']"
0.040281579976535004,"['energy _high', 'air_density _very high']"
0.04653891278842393,"['energy _very high', 'air_density _extremely high']"
0.07802111849824013,"['energy _extremely high', 'air_density _extremely high']"
0.05396949550254204,"['energy _extremely high', 'temp _very low', 'precipitation _low']"
0.04067266327727806,"['energy _extremely high', 'temp _very low', 'snowfall _extremely high']"
0.05181853734845522,"['energy _extremely high', 'temp _very low', 'snow_depth _extremely high']"
0.07117716073523661,"['energy _extremely high', 'temp _very low', 'air_density _extremely high']"
0.048494329292139225,"['temp _high', 'energy _very low', 'snow_depth _neutral']"
0.04204145482987876,"['air_density _neutral', 'temp _high', 'energy _very low']"
0.05220962064919828,"['energy _extremely high', 'temp _extremely high', 'air_density _very low']"
0.04086820492764959,"['energy _extremely high', 'precipitation _low', 'snow_depth _extremely high']"
0.05475166210402816,"['energy _extremely high', 'precipitation _low', 'air_density _extremely high']"
0.05025420414548299,"['energy _extremely high', 'snow_depth _extremely high', 'air_density _extremely high']"
0.05025420414548299,"['energy _extremely high', 'temp _very low', 'precipitation _low', 'air_density _extremely high']"
0.04673445443879547,"['energy _extremely high', 'temp _very low', 'snow_depth _extremely high', 'air_density _extremely high']"
